,ds,yhat
0,2020-08-24,620.7975633055631
1,2020-08-25,624.0671557280679
2,2020-08-26,628.2957691151845
3,2020-08-27,630.0925171531583
4,2020-08-28,634.2869352318615
5,2020-08-31,641.9907237357143
6,2020-09-01,644.5442286636584
7,2020-09-02,648.0988247814992
8,2020-09-03,649.2547813247874
9,2020-09-04,652.8312468664345
10,2020-09-07,658.6997962241684
11,2020-09-08,660.6066495502229
12,2020-09-09,663.4774599976199
13,2020-09-10,663.9022283371254
14,2020-09-11,666.6915015534489
15,2020-09-14,669.8095217114211
16,2020-09-15,670.6653657623599
17,2020-09-16,672.4230754068079
18,2020-09-17,671.6801609891874
19,2020-09-18,673.2576230933837
20,2020-09-21,672.6198231714267
21,2020-09-22,672.2427387648156
22,2020-09-23,672.8105991617847
23,2020-09-24,670.9423779355147
24,2020-09-25,671.4806092760191
25,2020-09-28,668.445090697818
26,2020-09-29,667.568429603445
27,2020-09-30,667.8103231200205
28,2020-10-01,665.7993398460196
29,2020-10-05,664.6214140545401
30,2020-10-06,664.5260253421111
31,2020-10-07,665.7069756554662
32,2020-10-08,664.774752717205
33,2020-10-09,666.5564516328428
34,2020-10-12,668.8432485101431
35,2020-10-13,670.1578488224495
36,2020-10-14,672.730873252388
37,2020-10-15,673.144468720536
38,2020-10-16,676.1987475304518
39,2020-10-19,681.6290793880449
40,2020-10-20,683.7045579665446
41,2020-10-21,686.8736588593224
42,2020-10-22,687.7123992818433
43,2020-10-23,691.0195036135075
44,2020-10-26,696.2316132050993
45,2020-10-27,697.9503087420065
46,2020-10-28,700.6513738086202
47,2020-10-29,700.934232225444
48,2020-10-30,703.6234196754267
49,2020-11-02,706.8878163455284
50,2020-11-03,708.0197259589828
51,2020-11-04,710.2097351014552
52,2020-11-05,710.0808597875066
53,2020-11-06,712.4781265136542
54,2020-11-09,715.7315294774346
55,2020-11-10,717.1738686826056
56,2020-11-11,719.8319234062315
57,2020-11-12,720.321465416917
58,2020-11-13,723.4753778212684
59,2020-11-14,718.5818947775263
60,2020-11-17,732.1866464654839
61,2020-11-18,735.9677864335259
62,2020-11-19,737.569055314666
63,2020-11-20,741.7922521096834
64,2020-11-23,750.6135845206879
65,2020-11-24,753.7729281051654
66,2020-11-25,757.9954990799985
67,2020-11-26,759.8513402762029
68,2020-11-27,764.1323380609642
69,2020-12-01,774.3736191506727
70,2020-12-02,777.7176972350823
71,2020-12-03,778.5560531171097
72,2020-12-04,781.7080494994435
73,2020-12-07,785.7751449190332
74,2020-12-08,786.9782777076564
75,2020-12-09,789.1456376532445
76,2020-12-10,788.9058518296712
